regid,smiles,Pgood
S11029,O=C1Nc2nonc2N=C1,0.95
S11030,O=C1Nc2nsnc2N=C1,0.95
S11036,O=C1C=NC=C2C=CC=CN12,0.98
S11037,O=C1C=NC=C2C=NC=CN12,0.94
S11038,O=C1C=NC=C2C=CN=CN12,0.98
S11039,O=C1C=NC=C2C=CC=NN12,0.93
S1104,O=C1Oc2ccnn2C=C1,0.92
S11040,O=C1C=NC=C2N=CC=CN12,0.59
S11042,O=C1C=NC=C2C=CN=NN12,0.51
S11043,O=C1C=NC=C2C=NN=CN12,0.92
S11048,O=C1NC=C2N=CC(=O)NC2=C1,0.95
S11049,O=C1NC=C2NC(=O)C=NC2=C1,0.95
S1105,O=C1OC=C2C=NNC2=C1,0.81
S11059,O=C1SC2=CN=CC(=O)N2C=C1,0.97
S1106,O=C1OC=C2NN=CC2=C1,0.81
S11062,O=C1C=NC=C2N=CN=CN12,0.58
S11063,O=C1C=NC=C2C=NC=NN12,0.92
S11068,O=C1NN=C2N=CC(=O)NC2=C1,0.53
S11069,O=C1NN=C2NC(=O)C=NC2=C1,0.86
S1107,O=C1SC=Cc2[nH]ncc12,0.97
S11072,O=C1NC2=CNC(=O)N=C2N=C1,0.95
S11073,O=C1NC2=NC(=O)NC=C2N=C1,0.95
S11074,O=C1ON=CN2C(=O)C=NC=C12,0.64
S1108,O=C1SC=Cc2cn[nH]c12,0.58
S1109,O=C1Sc2[nH]ncc2C=C1,0.98
S11091,O=C1NC2=C(NC(=O)C=N2)N=C1,0.95
S11093,O=C1NC2=CN=CC(=O)N2N=C1,0.93
S11095,O=C1NC2=C(NC(=O)N=N2)N=C1,0.95
S11098,O=C1NC(=O)C2=C(N1)NC(=O)C=N2,0.95
S11099,O=C1NC(=O)C2=C(N1)N=CC(=O)N2,0.95
S111,O=C1C=NNN=C1,0.93
S11102,O=C1NC2=C(NC(=O)C(=O)N2)N=C1,0.95
S1111,O=C1SC=Cn2nccc12,0.92
